"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","2018",24.966643,
"AUS","POP","TOT","MLN_PER","A","2019",25.340217,
"AUS","POP","TOT","MLN_PER","A","2020",25.655289,
"AUS","POP","TOT","MLN_PER","A","2021",25.688079,
"AUS","POP","TOT","MLN_PER","A","2022",25.978935,
"AUT","POP","TOT","MLN_PER","A","2018",8.837707,
"AUT","POP","TOT","MLN_PER","A","2019",8.877637,
"AUT","POP","TOT","MLN_PER","A","2020",8.916845,
"AUT","POP","TOT","MLN_PER","A","2021",8.95152,
"AUT","POP","TOT","MLN_PER","A","2022",9.052856,
"BEL","POP","TOT","MLN_PER","A","2018",11.40374,
"BEL","POP","TOT","MLN_PER","A","2019",11.462023,
"BEL","POP","TOT","MLN_PER","A","2020",11.506938,
"BEL","POP","TOT","MLN_PER","A","2021",11.552615,
"BEL","POP","TOT","MLN_PER","A","2022",11.640788,
"CAN","POP","TOT","MLN_PER","A","2018",37.065084,
"CAN","POP","TOT","MLN_PER","A","2019",37.60123,
"CAN","POP","TOT","MLN_PER","A","2020",38.007166,
"CAN","POP","TOT","MLN_PER","A","2021",38.226498,
"CAN","POP","TOT","MLN_PER","A","2022",38.929902,
"CZE","POP","TOT","MLN_PER","A","2018",10.62643,
"CZE","POP","TOT","MLN_PER","A","2019",10.669324,
"CZE","POP","TOT","MLN_PER","A","2020",10.700155,
"CZE","POP","TOT","MLN_PER","A","2021",10.50085,
"CZE","POP","TOT","MLN_PER","A","2022",10.759525,
"DNK","POP","TOT","MLN_PER","A","2018",5.789957,
"DNK","POP","TOT","MLN_PER","A","2019",5.814461,
"DNK","POP","TOT","MLN_PER","A","2020",5.825337,
"DNK","POP","TOT","MLN_PER","A","2021",5.850189,
"DNK","POP","TOT","MLN_PER","A","2022",5.910577,
"FIN","POP","TOT","MLN_PER","A","2018",5.515525,
"FIN","POP","TOT","MLN_PER","A","2019",5.521605,
"FIN","POP","TOT","MLN_PER","A","2020",5.529545,
"FIN","POP","TOT","MLN_PER","A","2021",5.54102,
"FIN","POP","TOT","MLN_PER","A","2022",5.556108,
"FRA","POP","TOT","MLN_PER","A","2018",67.125071,
"FRA","POP","TOT","MLN_PER","A","2019",67.349922,
"FRA","POP","TOT","MLN_PER","A","2020",67.538482,
"FRA","POP","TOT","MLN_PER","A","2021",67.738863,
"FRA","POP","TOT","MLN_PER","A","2022",67.94259,
"DEU","POP","TOT","MLN_PER","A","2018",82.905788,
"DEU","POP","TOT","MLN_PER","A","2019",83.092956,
"DEU","POP","TOT","MLN_PER","A","2020",83.160877,
"DEU","POP","TOT","MLN_PER","A","2021",83.196076,
"DEU","POP","TOT","MLN_PER","A","2022",83.797987,
"GRC","POP","TOT","MLN_PER","A","2018",10.732877,
"GRC","POP","TOT","MLN_PER","A","2019",10.721584,
"GRC","POP","TOT","MLN_PER","A","2020",10.698597,
"GRC","POP","TOT","MLN_PER","A","2021",10.569211,
"GRC","POP","TOT","MLN_PER","A","2022",10.36127,
"HUN","POP","TOT","MLN_PER","A","2018",9.775566,
"HUN","POP","TOT","MLN_PER","A","2019",9.771142,
"HUN","POP","TOT","MLN_PER","A","2020",9.750153,
"HUN","POP","TOT","MLN_PER","A","2021",9.709893,
"HUN","POP","TOT","MLN_PER","A","2022",9.643048,
"ISL","POP","TOT","MLN_PER","A","2018",0.352722,
"ISL","POP","TOT","MLN_PER","A","2019",0.360558,
"ISL","POP","TOT","MLN_PER","A","2020",0.366462,
"ISL","POP","TOT","MLN_PER","A","2021",0.372523,
"ISL","POP","TOT","MLN_PER","A","2022",0.382005,
"IRL","POP","TOT","MLN_PER","A","2018",4.857015,
"IRL","POP","TOT","MLN_PER","A","2019",4.921496,
"IRL","POP","TOT","MLN_PER","A","2020",4.977443,
"IRL","POP","TOT","MLN_PER","A","2021",5.01146,
"IRL","POP","TOT","MLN_PER","A","2022",5.100229,
"ITA","POP","TOT","MLN_PER","A","2018",59.877216,
"ITA","POP","TOT","MLN_PER","A","2019",59.729077,
"ITA","POP","TOT","MLN_PER","A","2020",59.438845,
"ITA","POP","TOT","MLN_PER","A","2021",59.133173,
"ITA","POP","TOT","MLN_PER","A","2022",58.940424,
"JPN","POP","TOT","MLN_PER","A","2018",126.748506,
"JPN","POP","TOT","MLN_PER","A","2019",126.555078,
"JPN","POP","TOT","MLN_PER","A","2020",126.146099,
"JPN","POP","TOT","MLN_PER","A","2021",125.50229,
"JPN","POP","TOT","MLN_PER","A","2022",124.946789,
"KOR","POP","TOT","MLN_PER","A","2018",51.585058,
"KOR","POP","TOT","MLN_PER","A","2019",51.764822,
"KOR","POP","TOT","MLN_PER","A","2020",51.836239,
"KOR","POP","TOT","MLN_PER","A","2021",51.744876,
"KOR","POP","TOT","MLN_PER","A","2022",51.628117,
"LUX","POP","TOT","MLN_PER","A","2018",0.60795,
"LUX","POP","TOT","MLN_PER","A","2019",0.620003,
"LUX","POP","TOT","MLN_PER","A","2020",0.630413,
"LUX","POP","TOT","MLN_PER","A","2021",0.640064,
"LUX","POP","TOT","MLN_PER","A","2022",0.653108,
"MEX","POP","TOT","MLN_PER","A","2018",125.327797,
"MEX","POP","TOT","MLN_PER","A","2019",126.577691,
"MEX","POP","TOT","MLN_PER","A","2020",127.792286,
"MEX","POP","TOT","MLN_PER","A","2021",128.972439,
"MEX","POP","TOT","MLN_PER","A","2022",130.118356,
"NLD","POP","TOT","MLN_PER","A","2018",17.231622,
"NLD","POP","TOT","MLN_PER","A","2019",17.344876,
"NLD","POP","TOT","MLN_PER","A","2020",17.4415,
"NLD","POP","TOT","MLN_PER","A","2021",17.533048,
"NLD","POP","TOT","MLN_PER","A","2022",17.703092,
"NZL","POP","TOT","MLN_PER","A","2018",4.9006,
"NZL","POP","TOT","MLN_PER","A","2019",4.9792,
"NZL","POP","TOT","MLN_PER","A","2020",5.0902,
"NZL","POP","TOT","MLN_PER","A","2021",5.1114,
"NZL","POP","TOT","MLN_PER","A","2022",5.1241,
"NOR","POP","TOT","MLN_PER","A","2018",5.311916,
"NOR","POP","TOT","MLN_PER","A","2019",5.347893,
"NOR","POP","TOT","MLN_PER","A","2020",5.379472,
"NOR","POP","TOT","MLN_PER","A","2021",5.40832,
"NOR","POP","TOT","MLN_PER","A","2022",5.457129,
"POL","POP","TOT","MLN_PER","A","2018",38.413139,
"POL","POP","TOT","MLN_PER","A","2019",38.386476,
"POL","POP","TOT","MLN_PER","A","2020",38.354173,
"POL","POP","TOT","MLN_PER","A","2021",38.162224,
"POL","POP","TOT","MLN_PER","A","2022",37.827355,
"PRT","POP","TOT","MLN_PER","A","2018",10.334633,
"PRT","POP","TOT","MLN_PER","A","2019",10.3544455,
"PRT","POP","TOT","MLN_PER","A","2020",10.384846,
"PRT","POP","TOT","MLN_PER","A","2021",10.407707,
"PRT","POP","TOT","MLN_PER","A","2022",10.4442415,
"SVK","POP","TOT","MLN_PER","A","2018",5.4467705,
"SVK","POP","TOT","MLN_PER","A","2019",5.454147,
"SVK","POP","TOT","MLN_PER","A","2020",5.458827,
"SVK","POP","TOT","MLN_PER","A","2021",5.441991,
"SVK","POP","TOT","MLN_PER","A","2022",5.431752,
"ESP","POP","TOT","MLN_PER","A","2018",46.728814,
"ESP","POP","TOT","MLN_PER","A","2019",47.105358,
"ESP","POP","TOT","MLN_PER","A","2020",47.355685,
"ESP","POP","TOT","MLN_PER","A","2021",47.331302,
"ESP","POP","TOT","MLN_PER","A","2022",47.615034,
"SWE","POP","TOT","MLN_PER","A","2018",10.175215,
"SWE","POP","TOT","MLN_PER","A","2019",10.278888,
"SWE","POP","TOT","MLN_PER","A","2020",10.353444,
"SWE","POP","TOT","MLN_PER","A","2021",10.415812,
"SWE","POP","TOT","MLN_PER","A","2022",10.486941,
"CHE","POP","TOT","MLN_PER","A","2018",8.514327,
"CHE","POP","TOT","MLN_PER","A","2019",8.57528,
"CHE","POP","TOT","MLN_PER","A","2020",8.638169,
"CHE","POP","TOT","MLN_PER","A","2021",8.704542,
"CHE","POP","TOT","MLN_PER","A","2022",8.775757,
"TUR","POP","TOT","MLN_PER","A","2018",81.407211,
"TUR","POP","TOT","MLN_PER","A","2019",82.579448,
"TUR","POP","TOT","MLN_PER","A","2020",83.384688,
"TUR","POP","TOT","MLN_PER","A","2021",84.147326,
"TUR","POP","TOT","MLN_PER","A","2022",84.979919,
"GBR","POP","TOT","MLN_PER","A","2018",66.43555,
"GBR","POP","TOT","MLN_PER","A","2019",66.796807,
"GBR","POP","TOT","MLN_PER","A","2020",67.081234,
"GBR","POP","TOT","MLN_PER","A","2021",67.026292,
"GBR","POP","TOT","MLN_PER","A","2022",67.299048,
"USA","POP","TOT","MLN_PER","A","2018",326.838199,
"USA","POP","TOT","MLN_PER","A","2019",328.329953,
"USA","POP","TOT","MLN_PER","A","2020",331.511512,
"USA","POP","TOT","MLN_PER","A","2021",332.031554,
"USA","POP","TOT","MLN_PER","A","2022",333.287557,
"BRA","POP","TOT","MLN_PER","A","2018",208.4949,
"BRA","POP","TOT","MLN_PER","A","2019",210.147125,
"BRA","POP","TOT","MLN_PER","A","2020",211.755692,
"BRA","POP","TOT","MLN_PER","A","2021",213.317639,
"BRA","POP","TOT","MLN_PER","A","2022",214.82854,
"CHL","POP","TOT","MLN_PER","A","2018",18.751405,
"CHL","POP","TOT","MLN_PER","A","2019",19.107216,
"CHL","POP","TOT","MLN_PER","A","2020",19.45831,
"CHL","POP","TOT","MLN_PER","A","2021",19.678363,
"CHL","POP","TOT","MLN_PER","A","2022",19.828563,
"COL","POP","TOT","MLN_PER","A","2018",48.258494,
"COL","POP","TOT","MLN_PER","A","2019",49.395678,
"COL","POP","TOT","MLN_PER","A","2020",50.407647,
"COL","POP","TOT","MLN_PER","A","2021",51.117378,
"COL","POP","TOT","MLN_PER","A","2022",51.682692,
"EST","POP","TOT","MLN_PER","A","2018",1.321977,
"EST","POP","TOT","MLN_PER","A","2019",1.326855,
"EST","POP","TOT","MLN_PER","A","2020",1.329479,
"EST","POP","TOT","MLN_PER","A","2021",1.330932,
"EST","POP","TOT","MLN_PER","A","2022",1.34884,
"ISR","POP","TOT","MLN_PER","A","2018",8.882764,
"ISR","POP","TOT","MLN_PER","A","2019",9.054026,
"ISR","POP","TOT","MLN_PER","A","2020",9.215113,
"ISR","POP","TOT","MLN_PER","A","2021",9.3714,
"ISR","POP","TOT","MLN_PER","A","2022",9.5286,
"RUS","POP","TOT","MLN_PER","A","2018",146.830572,
"RUS","POP","TOT","MLN_PER","A","2019",146.764661,
"RUS","POP","TOT","MLN_PER","A","2020",146.459803,
"RUS","POP","TOT","MLN_PER","A","2021",145.864296,
"RUS","POP","TOT","MLN_PER","A","2022",145.245776,
"SVN","POP","TOT","MLN_PER","A","2018",2.07005,
"SVN","POP","TOT","MLN_PER","A","2019",2.08931,
"SVN","POP","TOT","MLN_PER","A","2020",2.100126,
"SVN","POP","TOT","MLN_PER","A","2021",2.107007,
"SVN","POP","TOT","MLN_PER","A","2022",2.108732,
"CHN","POP","TOT","MLN_PER","A","2018",1417.069468,
"CHN","POP","TOT","MLN_PER","A","2019",1421.864034,
"CHN","POP","TOT","MLN_PER","A","2020",1424.929783,
"CHN","POP","TOT","MLN_PER","A","2021",1425.893465,
"CHN","POP","TOT","MLN_PER","A","2022",1425.887335,
"IND","POP","TOT","MLN_PER","A","2018",1369.003306,
"IND","POP","TOT","MLN_PER","A","2019",1383.112051,
"IND","POP","TOT","MLN_PER","A","2020",1396.387126,
"IND","POP","TOT","MLN_PER","A","2021",1407.563842,
"IND","POP","TOT","MLN_PER","A","2022",1417.173174,
"IDN","POP","TOT","MLN_PER","A","2018",264.1616,
"IDN","POP","TOT","MLN_PER","A","2019",266.9119,
"IDN","POP","TOT","MLN_PER","A","2020",269.6034,
"IDN","POP","TOT","MLN_PER","A","2021",272.2485,
"IDN","POP","TOT","MLN_PER","A","2022",274.8591,
"ZAF","POP","TOT","MLN_PER","A","2018",57.673251,
"ZAF","POP","TOT","MLN_PER","A","2019",58.532857,
"ZAF","POP","TOT","MLN_PER","A","2020",59.35294,
"ZAF","POP","TOT","MLN_PER","A","2021",59.964917,
"ZAF","POP","TOT","MLN_PER","A","2022",60.604992,
"OECD","POP","TOT","MLN_PER","A","2018",1354.85545345767,
"OECD","POP","TOT","MLN_PER","A","2019",1363.02265264722,
"OECD","POP","TOT","MLN_PER","A","2020",1371.22816721647,
"OECD","POP","TOT","MLN_PER","A","2021",1374.08414297092,
"OECD","POP","TOT","MLN_PER","A","2022",1380.19771417081,
"LVA","POP","TOT","MLN_PER","A","2018",1.92717,
"LVA","POP","TOT","MLN_PER","A","2019",1.913826,
"LVA","POP","TOT","MLN_PER","A","2020",1.900448,
"LVA","POP","TOT","MLN_PER","A","2021",1.884488,
"LVA","POP","TOT","MLN_PER","A","2022",1.879374,
"ARG","POP","TOT","MLN_PER","A","2018",44.494502,
"ARG","POP","TOT","MLN_PER","A","2019",44.938712,
"ARG","POP","TOT","MLN_PER","A","2020",45.376763,
"ARG","POP","TOT","MLN_PER","A","2021",45.808747,
"ARG","POP","TOT","MLN_PER","A","2022",46.23483,
"BGR","POP","TOT","MLN_PER","A","2018",7.0250365,
"BGR","POP","TOT","MLN_PER","A","2019",6.9757605,
"BGR","POP","TOT","MLN_PER","A","2020",6.934015,
"BGR","POP","TOT","MLN_PER","A","2021",6.8777425,
"BGR","POP","TOT","MLN_PER","A","2022",6.6433235,
"CRI","POP","TOT","MLN_PER","A","2018",5.00340195767213,
"CRI","POP","TOT","MLN_PER","A","2019",5.05800714721902,
"CRI","POP","TOT","MLN_PER","A","2020",5.11123821646865,
"CRI","POP","TOT","MLN_PER","A","2021",5.16303797091561,
"CRI","POP","TOT","MLN_PER","A","2022",5.21337367080593,
"HRV","POP","TOT","MLN_PER","A","2018",4.087843,
"HRV","POP","TOT","MLN_PER","A","2019",4.065253,
"HRV","POP","TOT","MLN_PER","A","2020",4.04768,
"HRV","POP","TOT","MLN_PER","A","2021",3.878981,
"HRV","POP","TOT","MLN_PER","A","2022",3.854,
"CYP","POP","TOT","MLN_PER","A","2018",0.870071,
"CYP","POP","TOT","MLN_PER","A","2019",0.881949,
"CYP","POP","TOT","MLN_PER","A","2020",0.892006,
"CYP","POP","TOT","MLN_PER","A","2021",0.900357,
"CYP","POP","TOT","MLN_PER","A","2022",0.908945,
"LTU","POP","TOT","MLN_PER","A","2018",2.801543,
"LTU","POP","TOT","MLN_PER","A","2019",2.794137,
"LTU","POP","TOT","MLN_PER","A","2020",2.794885,
"LTU","POP","TOT","MLN_PER","A","2021",2.80838,
"LTU","POP","TOT","MLN_PER","A","2022",2.833,
"MLT","POP","TOT","MLN_PER","A","2018",0.484634,
"MLT","POP","TOT","MLN_PER","A","2019",0.504059,
"MLT","POP","TOT","MLN_PER","A","2020",0.51533,
"MLT","POP","TOT","MLN_PER","A","2021",0.518538,
"MLT","POP","TOT","MLN_PER","A","2022",0.523281,
"ROU","POP","TOT","MLN_PER","A","2018",19.48384,
"ROU","POP","TOT","MLN_PER","A","2019",19.375835,
"ROU","POP","TOT","MLN_PER","A","2020",19.269469,
"ROU","POP","TOT","MLN_PER","A","2021",19.124061,
"ROU","POP","TOT","MLN_PER","A","2022",18.982743,
"SAU","POP","TOT","MLN_PER","A","2018",33.41366,
"SAU","POP","TOT","MLN_PER","A","2019",34.218169,
"SAU","POP","TOT","MLN_PER","A","2020",35.013414,
"SAU","POP","TOT","MLN_PER","A","2021",34.110821,
"SAU","POP","TOT","MLN_PER","A","2022",32.175224,
"SGP","POP","TOT","MLN_PER","A","2018",3.994283,
"SGP","POP","TOT","MLN_PER","A","2019",4.026209,
"SGP","POP","TOT","MLN_PER","A","2020",4.04421,
"SGP","POP","TOT","MLN_PER","A","2021",3.986842,
"SGP","POP","TOT","MLN_PER","A","2022",4.073239,
"WLD","POP","TOT","MLN_PER","A","2018",7683.789831,
"WLD","POP","TOT","MLN_PER","A","2019",7764.951032,
"WLD","POP","TOT","MLN_PER","A","2020",7840.95288,
"WLD","POP","TOT","MLN_PER","A","2021",7909.295151,
"WLD","POP","TOT","MLN_PER","A","2022",7975.105155,
"G20","POP","TOT","MLN_PER","A","2018",4827.972507,
"G20","POP","TOT","MLN_PER","A","2019",4859.43716,
"G20","POP","TOT","MLN_PER","A","2020",4888.098977,
"G20","POP","TOT","MLN_PER","A","2021",4905.2290855,
"G20","POP","TOT","MLN_PER","A","2022",4922.126758,
"EU27","POP","TOT","MLN_PER","A","2018",446.4572,
"EU27","POP","TOT","MLN_PER","A","2019",447.402405,
"EU27","POP","TOT","MLN_PER","A","2020",447.805543,
"EU27","POP","TOT","MLN_PER","A","2021",447.1175045,
"EU27","POP","TOT","MLN_PER","A","2022",447.949164,
